StartDate,EndDate,Progress,Duration__in_seconds_,Finished,Age,Edu,Race,Politics,PRegion,Region,SES,G,G_9_TEXT,FamRace,DispMC,ContMC,S1,S2,S3,S4,Attention,S5,S6,S7,S8,S9,N1,N2,N3,N4,N5,N6,N7,clean,wash,six,mask,closed,number,more,VaccineY,HaveCOVID,HadCOVID,MC1,MC2,MC3,MC4,MC5,MC6,VaccineIntention,MandatoryVaccine,PrivatizationSupport,PublicHealthInvest,HealthTaxIncrease,EmergencyAssistanceSupport,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,ID1,ID2,ID3,ID4,FL_18_DO_RacismCondition,FL_18_DO_Control,S2R,S4R,S6R,S7R,S9R,N5R,N6R,moreR,numberR,MC4R,MC5R,fullpriR,MR2R,ID1R,ID3R,Condition,Severity,Normalcy,HealthBehaviors,Disparities,ModRace,WhiteID
2/10/2021 5:59:32,2/10/2021 6:05:42,100,370,1,23,9,1,1,5,5,4,0, ,3, ,1,7,1,7,1,5,7,1,1,7,1,1,1,1,1,7,7,1,5,7,7,7,5,1,1,2,4,4,4,6,7,4,7,6,7,7,1,7,1,7,1,7,1,1,1,1,1,1,1,1,5,1, ,1,7,7,7,7,7,1,1,7,7,4,1,7,1,7,3,0,7,1,6.66666666666667,4.8,1,1
2/10/2021 5:57:02,2/10/2021 6:05:57,100,534,1,46,8,1,60,6,6,5,0, ,4,1, ,7,1,7,1,5,7,1,1,7,3,4,4,2,3,5,3,2,7,6,7,7,7,2,1,2,3,3,1,1,4,2,7,2,7,7,5,7,1,7,1,3,4,4,4,4,3,4,4,1,7,1,1, ,7,7,7,7,5,3,5,7,6,6,1,3,5,4,1,1,6.77777777777778,3.28571428571429,6.66666666666667,1.8,3.57142857142857,1
2/10/2021 6:05:13,2/10/2021 6:06:03,100,50,1,40,8,5,55,5,5,6,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:05:25,2/10/2021 6:06:05,100,39,1,23,5,5,50,5,5,2,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 5:59:06,2/10/2021 6:07:21,100,495,1,39,5,1,54,5,5,2,0, ,2, ,1,7,1,7,1,5,7,1,7,4,1,4,4,4,4,2,3,1,6,5,7,7,7,1,1,2,3,2,1,1,4,1,7,2,7,7,3,7,6,6,1,3,3,7,2,1,1,4,7,1,7,1, ,1,7,7,7,1,7,6,5,7,7,7,1,5,5,1,1,0,6,4,6.5,1.8,2.42857142857143,1
2/10/2021 6:03:36,2/10/2021 6:07:42,100,246,1,31,8,1,52,6,6,3,0, ,3, ,1,6,6,6,1,5,6,6,4,4,6,6,6,6,6,2,2,6,6,5,5,5,5,5,5,2,4,2,6,1,1,1,7,1,7,7,1,7,7,6,7,1,1,7,1,1,4,4,7,1,7,1, ,1,2,7,2,4,2,6,6,3,3,7,1,7,7,1,1,0,4.33333333333333,6,4.5,2,3.57142857142857,1
2/10/2021 6:04:48,2/10/2021 6:08:04,100,196,1,34,8,1,100,3,3,4,1, ,3,1, ,7,5,6,4,5,5,6,5,5,5,7,7,7,7,7,3,5,7,7,7,5,5,5,6,2,4,4,6,4,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,1, ,3,4,2,3,3,1,5,2,3,3,4,3,4,4,4,1,4.22222222222222,5.57142857142857,5.16666666666667,4.8,3.85714285714286,4
2/10/2021 6:06:15,2/10/2021 6:08:17,100,122,1,40,8,5,53,5,5,4,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2021 6:02:42,2/10/2021 6:08:30,100,348,1,38,9,1,10,5,5,6,0, ,4, ,1,7,1,7,1,5,7,2,1,7,1,2,2,1,1,7,7,1,6,7,7,7,6,2,1,2,4,4,6,7,7,7,7,7,7,7,1,7,7,7,1,7,1,7,1,1,1,2,3,1,1,2, ,1,7,7,6,7,7,1,1,7,6,1,1,7,1,5,7,0,6.88888888888889,1.28571428571429,6.66666666666667,5.6,1.14285714285714,1.5
2/10/2021 6:07:06,2/10/2021 6:08:43,100,96,1,19,7,4,36,3,3,5,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
